ENTNM,BONSA_ADDRESS,SCALE,company_kind,group,original_kind
유진로텍(주),경기도 포천시 가산면 금우로 276,중견기업,골프장운영업,12,(R91121)골프장 운영업
한국화장품(주),서울특별시 종로구 청계천로 35 (서린동),중견기업,화장품화장용품도매업,8,(G46443)화장품 및 화장용품 도매업
험프리에스엘큐원(주),서울특별시 종로구 율곡로 214 (연건동),대기업,주거용건물개발공급업,7,(L68121)주거용 건물 개발 및 공급업
(주)문화창고,서울특별시 용산구 이태원로 27길 39-15,대기업,매니저업,10,(M73901)매니저업
대성산업(주),서울시 구로구 경인로 662 디큐브시티,중견기업,연료소매업,15,(G47700)연료 소매업
천마산터널(주),"부산광역시 서구 충무대로 83 (암남동),암남동주민센터4층",대기업,도로관련시설운영업,7,(H52914)도로 및 관련시설 운영업
대성밸류인베스트먼트(주),서울 마포구 월드컵북로54길 11,중견기업,사업지원서비스업,2,(N75900)기타 사업지원 서비스업
청진이삼프로젝트(주),"서울특별시 종로구 종로3길 17 (청진동), D타워",대기업,부동산임대업,12,(L68110)부동산 임대업
에스케이종합화학(주),서울특별시 종로구 종로 26,대기업,석유화학계기초화학물질제조업,14,(C20111)석유화학계 기초 화학물질 제조업
SK에너지(주),서울특별시 종로구 종로 26 (서린동),대기업,원유정제처리업,10,(C19210)원유 정제처리업
청정목포환경(주),서울특별시 종로구 새문안로 76 금호아시아나빌딩 16층,중견기업,토목시설물건설업,10,(F41229)기타 토목시설물 건설업
울산아로마틱스(주),"울산광역시 남구 신여천로 2 (고사동),SK㈜ 생산기술센터",대기업,화학물질화학제품제조업의약품제외,8,(C20000)화학물질 및 화학제품 제조업; 의약품 제외
에스케이바이오팜(주),경기도 성남시 분당구 판교역로221 (삼평동),대기업,의약용화합물항생물질제조업,14,(C21101)의약용 화합물 및 항생물질 제조업
현대자원개발(주),"서울특별시 종로구 율곡로 75 (계동), 현대건설빌딩",중견기업,원유천연가스채굴관련서비스업,12,(B08010)원유 및 천연가스 채굴관련 서비스업
파주에너지서비스(주),경기도 파주시 파주읍 휴암로 336-234(봉암리)544-4,대기업,화력발전업,10,(D35113)화력 발전업
(주)센티오스,인천광역시 연수구 아트센터대로 175 지타워 21층,중견기업,컴퓨터시스템통합자문구축관리업,0,"(J62020)컴퓨터시스템 통합 자문, 구축 및 관리업"
(주)삼양바이오팜,서울특별시 종로구 종로33길 31 (연지동),중견기업,의료용물질의약품제조업,12,(C21000)의료용 물질 및 의약품 제조업
(주)삼양사,서울시 종로구 종로33길 31,중견기업,설탕제조업,3,(C10720)설탕 제조업
포스파워(주),강원도 삼척시 중앙로 200 (남양동),대기업,태양력발전업,10,(D35114)태양력 발전업
제이엑스니폰오일앤에너지코리아(주),"서울특별시 종로구 종로 33 15층(청진동, 그랑서울)",중견기업,석유화학계기초화학물질제조업,14,(C20111)석유화학계 기초 화학물질 제조업
위례에너지서비스(주),경기도 하남시 학암로10번길 3-14 (학암동),대기업,증기온수공기조절공급업,10,"(D35300)증기, 냉.온수 및 공기조절 공급업"
(주)현대캐터링시스템,경기도 성남시 분당구 대왕판교로 660 유스페이스1 B동 701,대기업,사업지원서비스업,2,(N75999)그 외 기타 분류 안된 사업지원 서비스업
센트럴장교(주),"서울특별시 종로구 종로1길 36 (수송동), 대림빌딩 12층",중견기업,임대업부동산제외,8,(L69000)임대업;부동산 제외
케이에프(주),서울특별시 종로구 삼봉로 81,대기업,건물산업설비청소방제서비스업,12,(N74200)건물ㆍ산업설비 청소 및 방제 서비스업
(주)비케이알,서울특별시 종로구 삼봉로 71 G타워 2층,중견기업,피자햄버거샌드위치유사음식점업,8,"(I56192)피자, 햄버거, 샌드위치 및 유사 음식점업"
에스케이트레이딩인터내셔널(주),"서울특별시 종로구 종로 26 (서린동), SK빌딩",대기업,목재건축자재중개업,8,(G46104)목재 및 건축자재 중개업
(주)라이나금융서비스,"서울특별시 강남구 테헤란로 223 (역삼동), 큰길타워빌딩 8층",중견기업,보험대리중개업,15,(K66202)보험 대리 및 중개업
(주)삼표산업,서울특별시 종로구 종로1길 42 15층,중견기업,레미콘제조업,3,(C23322)레미콘 제조업
(주)태승엘피,"서울 종로구 창경궁로 120 (인의동, 종로플에이스빌딩) 14층",중견기업,경영컨설팅업,12,(M71531)경영 컨설팅업
현대엘엔지해운(주),"서울특별시 중구 세종대로 39 (남대문로4가), 대한서울상공회의소 7층",중견기업,외항화물운송업,8,(H50112)외항 화물 운송업
(주)신세계인터코스코리아,"경기도 성남시 분당구 판교로 331 5층 (삼평동, 에이비엔타워)",대기업,화장품비누방향제소매업,8,"(G47813)화장품, 비누 및 방향제 소매업"
(주)삼양패키징,서울시 종로구 종로33길 31,중견기업,포장용플라스틱성형용기제조업,7,(C22232)포장용 플라스틱 성형용기 제조업
(주)한국일보사,서울특별시 중구 세종대로 17 (남대문로5가),중견기업,신문발행업,7,(J58121)신문 발행업
동화투자개발(주),서울특별시 종로구 세종로 211 광화문빌딩 11층,중견기업,비주거용건물개발공급업,7,(L68122)비주거용 건물 개발 및 공급업
(주)동아일보사,서울특별시 종로구 청계천로 1 (서린동),중견기업,신문발행업,7,(J58121)신문 발행업
삼양식품(주),서울특별시 성북구 오패산로3길 104 (하월곡동),중견기업,식품제조업,4,(C10700)기타 식품 제조업
(주)동화면세점,서울특별시 종로구 세종대로 149 (세종로),중견기업,종합소매업,15,(G47100)종합 소매업
교보생명보험(주),서울특별시 종로구 종로 1 (종로1가),대기업,생명보험업,0,(K65110)생명 보험업
(주)교보문고,"서울시 종로구 종로1(종로1가,교보빌딩)",대기업,서적신문잡지류소매업,8,"(G47611)서적, 신문 및 잡지류 소매업"
교보리얼코(주),서울특별시 성동구 왕십리로 342,대기업,사업시설유지관리서비스업,12,(N74100)사업시설 유지.관리 서비스업
삼양목장(주),서울특별시 성북구 오패산로3길 104 (하월곡동) 삼양식품빌딩 4층,중견기업,젖소사육업,10,(A01211)젖소 사육업
한국요꼬가와전기(주),서울특별시 영등포구 선유로45길21번지(요꼬가와 빌딩),중견기업,기기용자동측정제어장치제조업,10,(C27215)기기용 자동측정 및 제어장치 제조업
대한상선(주),"서울특별시 영등포구 선유동1로 22  9층 (당산동2가, 진덕빌딩)",중견기업,외항화물운송업,8,(H50112)외항 화물 운송업
(주)씨앤에스자산관리,"서울시 종로구 사직로 130, 적선현대빌딩 907호",중견기업,사업지원서비스업,2,(N75000)사업지원 서비스업
(주)국보디자인,서울시 마포구 월드컵로10길 49 (서교동),중견기업,인테리어디자인업,0,(M73201)인테리어 디자인업
세안홀딩스(주),서울특별시 종로구 새문안로 82 (신문로1가),중견기업,비주거용건물임대업,8,(L68112)비주거용 건물 임대업
롯데글로벌로지스(주),"서울특별시 중구 통일로 10 (남대문로5가, 연세세브란스빌딩)",대기업,운송관련서비스업,2,(H52990)그 외 기타 운송관련 서비스업
(주)연합뉴스,서울특별시 종로구 율곡로2길 25 (수송동),중견기업,뉴스제공업,9,(J63910)뉴스 제공업
브리티쉬아메리칸토바코코리아(주),서울특별시 강남구 테헤란로 152 강남파이낸스센터 42층,중견기업,담배도매업,15,(G46333)담배 도매업
교보핫트랙스(주),경기도 파주시 문발로 250 (문발동),대기업,서적신문잡지류소매업,8,"(G47611)서적, 신문 및 잡지류 소매업"
(주)알바이오,서울특별시 관악구 관악로 120 (봉천동),중견기업,산업용기계장비도매업,14,(G46539)기타 산업용 기계 및 장비 도매업
(주)영풍문고,서울특별시 강남구 강남대로 542 (논현동),대기업,서적신문잡지류소매업,8,"(G47611)서적, 신문 및 잡지류 소매업"
금호석유화학(주),"서울시 중구 청계천로 100(수표동, 시그니쳐타워스 서울)",중견기업,기초화학물질제조업,14,(C20100)기초 화학물질 제조업
금호미쓰이화학(주),서울특별시 중구 청계천로100 시그니쳐타워 동관11층,대기업,석유화학계기초화학물질제조업,14,(C20111)석유화학계 기초 화학물질 제조업
두산건설(주),서울시 강남구 언주로 726 (논현동),대기업,아파트건설업,12,(F41112)아파트 건설업
현대씨앤알(주),서울시 송파구 송파대로 570 타워730빌딩 27층,중견기업,사업시설유지관리서비스업,12,(N74100)사업시설 유지.관리 서비스업
진양산업(주),경상남도 양산시 유산공단7길 42-1 (유산동),중견기업,폴리스티렌발포성형제품제조업,14,(C22251)폴리스티렌 발포 성형제품 제조업
삼표피앤씨(주),서울시 종로구 종로1길 42 이마빌딩 14층,중견기업,콘크리트구조용제품제조업,14,(C23325)콘크리트 관 및 기타 구조용 콘크리트 제품 제조업
(주)삼호,인천시 남동구 미래로 14 (구월동),대기업,건물건설업,12,(F41100)건물 건설업
(주)한솔케미칼,서울시 강남구 테헤란로 513 K Tower 7F / 8F,중견기업,기초무기화학물질제조업,14,(C20129)기타 기초 무기 화학물질 제조업
(주)하쿠호도제일,서울특별시 종로구 세종대로 149 (세종로),중견기업,광고대행업,4,(M71310)광고 대행업
(주)한솔홈데코,"서울시 동작구 보라매로5길 15, 전문건설회관 27층",중견기업,제재목재가공업,14,(C16100)제재 및 목재 가공업
대림씨엔에스(주),"서울시 중구 을지로5길 16 (을지로2가, 삼화타워 5층)",대기업,콘크리트구조용제품제조업,14,(C23325)콘크리트 관 및 기타 구조용 콘크리트 제품 제조업
델인터내셔널(주),서울특별시 서초구 강남대로 299 (서초동)강남메트로빌딩 9층,중견기업,컴퓨터시스템통합자문구축서비스업,0,(J62021)컴퓨터시스템 통합 자문 및 구축 서비스업
(주)하나투어,서울시 종로구 인사동5길 41 (주)하나투어,중견기업,여행사업,9,(N75210)여행사업
(주)석파문화원서울미술관,서울특별시 종로구 창의문로11길 4-1 (부암동),중견기업,박물관운영업,10,(R90221)박물관 운영업
(주)마이다스동아,서울특별시 종로구 세종대로 152 (세종로),중견기업,광고관련서비스업,2,(M71399)그 외 기타 광고 관련 서비스업
코카콜라음료(주),경상남도 양산시 충렬로 269 (유산동),대기업,비알코올음료제조업,3,(C11209)기타 비알코올 음료 제조업
한솔로지스틱스(주),서울시 중구 을지로 100 파인애비뉴 B동 22층,중견기업,운송관련서비스업,2,(H52990)그 외 기타 운송관련 서비스업
(주)리치몬트코리아,서울특별시 중구 퇴계로 100 (회현동2가),중견기업,시계귀금속제품도매업,8,(G46492)시계 및 귀금속제품 도매업
(주)쉥커코리아,인천광역시 중구 공항동로 296번길 97-49 공항물류단지 G3블럭,중견기업,통관대리관련서비스업,12,(H52991)통관 대리 및 관련서비스업
주식회사커머스플래닛,서울특별시 동작구 여의대방로 112 성무관빌딩 8층,중견기업,화장품도매업,15,(G46443)화장품 도매업
디케이유엔씨(주),"서울특별시 영등포구 국제금융로6길 11 (여의도동, 삼덕빌딩 11층)",중견기업,응용소프트웨어개발공급업,0,(J58222)응용 소프트웨어 개발 및 공급업
(주)케이티,경기도 성남시 분당구 불정로 90 (정자동),대기업,전기통신업,4,(J61200)전기 통신업
신성통상(주),서울특별시 강동구 풍성로63길 84 (둔촌동),중견기업,전문도매업,15,(G46700)기타 전문 도매업
우양산업개발(주),"서울특별시 중구 후암로 110 (남대문로5가), 서울시티타워빌딩 12층",중견기업,호텔업,8,(I55101)호텔업
대한사료(주),인천광역시 중구 북성포길 13 (북성동1가),중견기업,배합사료제조업,14,(C10801)배합 사료 제조업
대한제분(주),서울특별시 중구 세종대로 39 (남대문로4가),중견기업,곡물제분업,9,(C10612)곡물 제분업
(주)헤럴드,서울특별시 용산구 후암로4길 10 (후암동),중견기업,신문발행업,7,(J58121)신문 발행업
대한유화(주),서울시 종로구 자하문로 77 (유남빌딩),중견기업,석유화학계기초화학물질제조업,14,(C20111)석유화학계 기초 화학물질 제조업
송원물산(주),서울특별시 중구 소공로3길 20 (회현동1가),중견기업,부동산임대업,12,(L68119)기타 부동산 임대업
대원강업(주),충남 천안시 서북구 성거읍 오송1길 114-41,중견기업,자동차신품부품제조업,12,(C30300)자동차 신품 부품 제조업
롯데하이마트(주),서울시 강남구 삼성로 156 롯데하이마트빌딩,대기업,가전제품소매업,15,(G47320)가전제품 소매업
아시아나항공(주),"서울특별시 강서구 오정로 443-83 (오쇠동), 아시아나타운",대기업,항공여객운송업,12,(H51100)항공 여객 운송업
아시아나에어포트(주),서울특별시 강서구 하늘길 170 (공항동),대기업,항공운송지원서비스업,2,(H52939)기타 항공 운송지원 서비스업
지에스건설(주),서울시 종로구 종로33 그랑서울,대기업,주거용건물건설업,8,(F41110)주거용 건물 건설업
한화역사(주),서울특별시 중구 한강대로 405 (봉래동2가),대기업,백화점,13,(G47111)백화점
대우정보시스템(주),"서울특별시 종로구 청계천로 85 (관철동, 삼일빌딩)",중견기업,컴퓨터시스템통합자문구축서비스업,0,(J62021)컴퓨터시스템 통합 자문 및 구축 서비스업
팬오션(주),"서울시 종로구 종로5길 7, Tower8",대기업,외항화물운송업,8,(H50112)외항 화물 운송업
모빌코리아윤활유(주),서울특별시 종로구 율곡로 88 (운니동)삼환빌딩 7층,중견기업,윤활유그리스제조업,3,(C19221)윤활유 및 그리스 제조업
아시아나아이디티(주),서울시 종로구 새문안로 76,대기업,컴퓨터시스템통합자문구축서비스업,0,(J62021)컴퓨터시스템 통합 자문 및 구축 서비스업
(주)조선일보사,서울특별시 중구 세종대로21길 30 (태평로1가),중견기업,신문발행업,7,(J58121)신문 발행업
(주)유니드,서울시 중구 을지로5길 19 페럼타워 17층,대기업,기초무기화학물질제조업,14,(C20129)기타 기초 무기 화학물질 제조업
(주)국보,서울시 중구 소공로 88 (소공동),중견기업,일반화물자동차운송업,12,(H49301)일반 화물자동차 운송업
오-덱(주),"서울특별시 중구 소공로 94 (소공동), OCI주식회사 12층",중견기업,자동차엔진용신품부품제조업,10,(C30310)자동차 엔진용 신품 부품 제조업
한솔홀딩스(주),서울시 중구 을지로 100 파인애비뉴 B동 24층,중견기업,지주회사,16,(K64992)지주회사
(주)호텔롯데,서울특별시 중구 을지로 30,대기업,호텔업,8,(I55101)호텔업
롯데쇼핑(주),서울시 중구 남대문로 81 (소공동),대기업,백화점,13,(G47111)백화점
삼성선물(주),서울특별시 중구 세종대로 67 (태평로2가)250 삼성본관빌딩9층,대기업,선물중개업,15,(K66122)선물 중개업
삼성생명보험(주),서울특별시 서초구 서초대로74길 11 (서초동),대기업,생명보험업,0,(K65110)생명 보험업
CJ(주),서울특별시 중구 소월로2길 12 (남대문로5가),대기업,지주회사,16,(K64992)지주회사
(주)신세계조선호텔,"서울특별시 중구 소공로 106 (소공동, 웨스틴조선호텔)",대기업,호텔업,8,(I55101)호텔업
(주)에이치에스테크놀로지,인천광역시 남동구 남동대로156번길 79,중견기업,자동차용신품조향장치현가장치제조업,8,(C30391)자동차용 신품 조향장치 및 현가 장치 제조업
(주)사조오양,서울시 서초구 남부순환로 2159(방배동),중견기업,수산물가공저장처리업,14,(C10200)수산물 가공 및 저장 처리업
(주)화진화장품,서울특별시 영등포구 선유동2로 57,중견기업,화장품제조업,15,(C20423)화장품 제조업
(주)인터텍킴스코,"경기도 군포시 공단로160번길3(당정동, 인터텍빌딩)",중견기업,화물포장검수계량서비스업,12,"(H52993)화물 포장, 검수 및 계량 서비스업"
한국인터텍테스팅서비스(주),서울특별시 성동구 아차산로5길 7 (성수동2가)아주디지털타워 1층,중견기업,기술시험검사분석업,8,"(M72910)기술 시험, 검사 및 분석업"
(주)유니드글로벌상사,서울특별시 중구 을지로5길 19 페럼타워 16층,대기업,상품종합도매업,8,(G46800)상품 종합 도매업
롯데손해보험(주),서울특별시 중구 소월로 3 (남창동) 롯데손해보험빌딩,대기업,손해보험업,12,(K65121)손해 보험업
금호산업(주),전라남도 나주시 시청길 4 (송월동),대기업,아파트건설업,12,(F41112)아파트 건설업
계양전기(주),서울시 강남구 테헤란로 508 (대치동) 해성2빌딩 2층,중견기업,동력식수지공구제조업,3,(C29194)동력식 수지공구 제조업
금호폴리켐(주),서울특별시 중구 청계천로 100 8층 (시그니처타워 동관),중견기업,합성고무제조업,3,(C20201)합성고무 제조업
씨제이올리브네트웍스(주),"서울 용산구 한강대로 366, 10층(동자동, 트윈시티)",대기업,화장품비누방향제소매업,8,"(G47813)화장품, 비누 및 방향제 소매업"
한덕화학(주),서울시 강남구 테헤란로 534,대기업,감광재료관련화학제품제조업,10,(C20491)감광재료 및 관련 화학제품 제조업
에스케이텔레콤(주),서울시 중구 을지로 65 SK T타워,대기업,무선위성통신업,10,(J61220)무선 및 위성 통신업
제이티인터내셔널코리아(주),서울특별시 종로구 새문안로 68 18층,중견기업,목재건축자재중개업,8,(G46104)목재 및 건축자재 중개업
(주)풍산개발,서울특별시 중구 남대문로1길 26 (북창동),중견기업,비주거용건물임대업,8,(L68112)비주거용 건물 임대업
아라마크(주),"서울특별시 마포구 마포대로 137(공덕동, KPX빌딩) 8층",중견기업,기관구내식당업,14,(I56130)기관 구내식당업
아시아나개발(주),인천광역시 중구 공항동로295번길 77-6 (운서동),대기업,비주거용건물임대업,8,(L68112)비주거용 건물 임대업
엘에스빌드윈(주),서울시 금천구 디지털로 9길 68 대륭포스트타워5차,대기업,유리창호공사업,4,(F42420)유리 및 창호 공사업
에스케이텔링크(주),서울특별시 중구 퇴계로 24 (남대문로5가),대기업,유선통신업,8,(J61210)유선 통신업
스탭스(주),서울특별시 중구 동호로14길 7 (신당동)BS빌딩,중견기업,임시일용인력공급업,10,(N75121)임시 및 일용 인력 공급업
토파스여행정보(주),서울특별시 중구 소공로 88 한진빌딩신관 19층,대기업,응용소프트웨어개발공급업,0,(J58222)응용 소프트웨어 개발 및 공급업
씨제이씨지브이(주),서울시 용산구 한강대로23길 55 아이파크몰 6층(한강로동),대기업,영화관운영업,12,(J59141)영화관 운영업
장금상선(주),"서울시 중구 세종대로 64, 2층 (태평로 2가, 해남빌딩)",중견기업,외항화물운송업,8,(H50112)외항 화물 운송업
(주)대우로지스틱스,서울특별시 중구 퇴계로 18 대우재단빌딩 17층,중견기업,외항화물운송업,8,(H50112)외항 화물 운송업
(주)한경닷컴,"서울특별시 중구 청파로 463 (중림동, 한국경제신문사빌딩)",중견기업,데이터베이스온라인정보제공업,0,(J63991)데이터베이스 및 온라인정보 제공업
해태에이치티비(주),서울특별시 종로구 새문안로 58(신문로2가),대기업,비알코올음료제조업,3,(C11209)기타 비알코올 음료 제조업
포스코에너지(주),서울특별시 강남구 테헤란로 440 서관 16층,대기업,원자력발전업,14,(D35111)원자력 발전업
여천NCC(주),서울특별시 중구 세종대로 39 상공회의소빌딩 8층,중견기업,석유화학계기초화학물질제조업,14,(C20111)석유화학계 기초 화학물질 제조업
(주)대명화학,경상북도 문경시 산양면 산양공단2길 9-13,중견기업,지주회사,16,(K64992)지주회사
코오롱생명과학(주),"경기도 과천시 코오롱로 13 (별양동), 코오롱타워별관7층",대기업,기초의약물질생물학적제제제조업,8,(C21100)기초 의약물질 및 생물학적 제제 제조업
(주)멀티캠퍼스,서울시 강남구 언주로 508 서울상록회관 17층,대기업,직원훈련기관,14,(P85650)직원훈련기관
현대오토에버(주),서울시 강남구 영동대로 417 오토웨이타워,대기업,소프트웨어개발공급업,0,(J58200)소프트웨어 개발 및 공급업
폴리미래(주),서울특별시 영등포구 국제금융로2길 25,중견기업,합성수지플라스틱물질제조업,1,(C20202)합성수지 및 기타 플라스틱 물질 제조업
대우조선해양(주),경남 거제시 거제대로 3370 (아주동),대기업,선박수상부유구조물건조업,10,(C31110)선박 및 수상 부유 구조물 건조업
